customer_id,churn_probability,churn_flag,risk_segment,monthly_charges,tenure_months,contract_type,cx_risk_score,payment_method,stickiness_score,action_category
0002-ORFBO,0.3403019013985668,0,Medium,65.6,10,one year,2,mailed check,2,Monitor customer
0003-MKNFE,0.5737966309373286,1,High,59.9,10,month-to-month,3,mailed check,1,Apply retention strategy
0004-TLHLJ,0.8925366493015234,1,High,73.9,5,month-to-month,4,electronic check,0,Apply retention strategy
0011-IGKFF,0.8287009827968316,1,High,98.0,14,month-to-month,3,electronic check,2,Apply retention strategy
0013-EXCHZ,0.8312167852736378,1,High,83.9,4,month-to-month,2,mailed check,2,Apply retention strategy
0013-MHZWF,0.6280386832225697,1,High,69.4,10,month-to-month,2,credit card (automatic),3,Apply retention strategy
0013-SMEOE,0.11851887039524653,0,Low,109.7,72,two year,0,bank transfer (automatic),4,No action required
0014-BMAQU,0.06965884116438666,0,Low,84.65,64,two year,0,credit card (automatic),2,No action required
0015-UOCOJ,0.6978585619058904,1,High,48.2,8,month-to-month,3,electronic check,1,Apply retention strategy
0016-QLJIS,0.062395969589826836,0,Low,90.45,66,two year,0,mailed check,4,No action required
0017-DINOC,0.033849995564419845,0,Low,45.2,55,two year,0,credit card (automatic),3,No action required
0017-IUDMW,0.1339585288349772,0,Low,114.729,73,two year,0,credit card (automatic),4,No action required
0018-NYROU,0.864850242900168,1,High,68.95,6,month-to-month,3,electronic check,0,Apply retention strategy
0019-EFAEP,0.13430297338935215,0,Low,101.3,73,two year,4,bank transfer (automatic),2,No action required
0019-GFNTW,0.03238997310991523,0,Low,45.05,57,two year,0,bank transfer (automatic),2,No action required
0020-INWCK,0.16437669395131438,0,Low,95.75,72,two year,3,credit card (automatic),1,No action required
0020-JDNXP,0.15071326022496606,0,Low,61.25,35,one year,0,mailed check,4,No action required
0021-IKXGC,0.9276599962090486,1,High,72.1,2,month-to-month,3,electronic check,0,Apply retention strategy
0022-TCJCI,0.22715352956751328,0,Low,62.7,46,one year,3,credit card (automatic),2,No action required
0023-HGHWL,0.7685963462271825,1,High,25.1,2,month-to-month,3,electronic check,0,Apply retention strategy
0023-UYUPN,0.0683678509906517,0,Low,25.2,51,one year,0,electronic check,0,No action required
0023-XUOPT,0.8042247167767103,1,High,94.1,14,month-to-month,3,electronic check,1,Apply retention strategy
0027-KWYKW,0.7734718982820089,1,High,83.75,24,month-to-month,3,electronic check,1,Apply retention strategy
0030-FNXPP,0.4237838568017248,1,High,19.85,4,month-to-month,0,mailed check,0,Apply retention strategy
0031-PVLZI,0.38890119945110124,0,Medium,20.35,5,month-to-month,0,mailed check,0,Monitor customer
0032-PGELS,0.6970005382518468,1,High,30.5,2,month-to-month,3,bank transfer (automatic),1,Apply retention strategy
0036-IHMOT,0.2613456169930631,0,Medium,103.7,56,one year,1,bank transfer (automatic),3,Monitor customer
0040-HALCW,0.015360828869603063,0,Low,20.4,55,two year,0,credit card (automatic),0,No action required
0042-JVWOJ,0.0810345451705029,0,Low,19.6,27,one year,0,bank transfer (automatic),0,No action required
0042-RLHYP,0.007800060912668394,0,Low,19.7,70,two year,0,bank transfer (automatic),0,No action required
0048-LUMLS,0.4063928053489025,1,High,91.2,38,one year,3,credit card (automatic),2,Apply retention strategy
0048-PIHNL,0.04379075122733667,0,Low,20.45,50,one year,0,bank transfer (automatic),0,No action required
0052-DCKON,0.25858420578024655,0,Medium,114.729,67,one year,0,bank transfer (automatic),4,Monitor customer
0052-YNYOT,0.033895724207496286,0,Low,20.55,68,one year,0,electronic check,0,No action required
0056-EPFBG,0.07722120062121315,0,Low,39.4,21,two year,0,credit card (automatic),2,No action required
0057-QBUQH,0.030037729156289193,0,Low,25.1,44,two year,0,electronic check,0,No action required
0058-EVZWM,0.5464117017214779,1,High,89.8,56,month-to-month,3,bank transfer (automatic),2,Apply retention strategy
0060-FUALY,0.6887987446268374,1,High,94.75,60,month-to-month,3,electronic check,2,Apply retention strategy
0064-SUDOG,0.050681364341593566,0,Low,20.3,13,two year,0,bank transfer (automatic),0,No action required
0064-YIJGF,0.5997168034328346,1,High,75.75,28,month-to-month,3,bank transfer (automatic),0,Apply retention strategy
0067-DKWBL,0.842185582938572,1,High,49.25,3,month-to-month,4,electronic check,1,Apply retention strategy
0068-FIGTF,0.2282564328090794,0,Low,78.2,28,one year,2,mailed check,3,No action required
0071-NDAFP,0.03959081326478783,0,Low,25.5,26,two year,0,credit card (automatic),0,No action required
0074-HDKDG,0.2680342975146331,0,Medium,61.6,26,one year,3,bank transfer (automatic),1,Monitor customer
0076-LVEPS,0.2526490046968075,0,Medium,45.0,30,month-to-month,0,mailed check,2,Monitor customer
0078-XZMHT,0.059935802964867085,0,Low,85.15,73,two year,2,bank transfer (automatic),3,No action required
0080-EMYVY,0.329890154692658,0,Medium,51.45,15,one year,4,credit card (automatic),0,Monitor customer
0080-OROZO,0.41215489359410706,1,High,99.25,36,one year,0,electronic check,3,Apply retention strategy
0082-LDZUE,0.7479425499721956,1,High,44.3,2,month-to-month,3,mailed check,0,Apply retention strategy
0082-OQIQY,0.6313199541471662,1,High,94.2,30,month-to-month,0,electronic check,3,Apply retention strategy
0083-PIVIK,0.19016802078417852,0,Low,81.25,65,one year,0,electronic check,3,No action required
0089-IIQKO,0.5818665430202477,1,High,99.95,40,month-to-month,2,credit card (automatic),3,Apply retention strategy
0093-EXYQL,0.6995048845091406,1,High,91.55,41,month-to-month,4,electronic check,2,Apply retention strategy
0093-XWZFY,0.6620430719594816,1,High,104.5,41,month-to-month,4,credit card (automatic),2,Apply retention strategy
0094-OIFMO,0.854041392781907,1,High,95.0,12,month-to-month,3,electronic check,2,Apply retention strategy
0096-BXERS,0.6990618413020669,1,High,50.35,7,month-to-month,4,electronic check,0,Apply retention strategy
0096-FCPUF,0.4078932330741113,1,High,64.5,31,month-to-month,4,mailed check,2,Apply retention strategy
0098-BOWSO,0.24112509775342014,0,Low,19.4,28,month-to-month,0,electronic check,0,No action required
0100-DUVFC,0.5096741020366129,1,High,104.8,71,one year,4,electronic check,2,Apply retention strategy
0103-CSITQ,0.2855308153185738,0,Medium,109.4,58,one year,2,bank transfer (automatic),3,Monitor customer
0104-PPXDV,0.1537407243311834,0,Low,50.3,59,one year,4,credit card (automatic),0,No action required
0106-GHRQR,0.5577991361665154,1,High,71.4,17,month-to-month,4,bank transfer (automatic),1,Apply retention strategy
0106-UGRDO,0.19616866637488437,0,Low,114.729,70,two year,0,electronic check,4,No action required
0107-WESLM,0.6311597209711113,1,High,19.85,2,month-to-month,0,electronic check,0,Apply retention strategy
0107-YHINA,0.9665613644815383,1,High,99.75,2,month-to-month,3,electronic check,2,Apply retention strategy
0111-KLBQG,0.601387081398519,1,High,93.95,33,month-to-month,4,mailed check,2,Apply retention strategy
0112-QAWRZ,0.677987061655941,1,High,90.8,17,month-to-month,4,bank transfer (automatic),1,Apply retention strategy
0112-QWPNC,0.33512060700430824,0,Medium,84.35,50,one year,0,electronic check,4,Monitor customer
0114-IGABW,0.03507289236101175,0,Low,58.25,72,two year,0,bank transfer (automatic),3,No action required
0114-PEGZZ,0.7688694466377547,1,High,107.55,34,month-to-month,3,electronic check,2,Apply retention strategy
0114-RSRRW,0.26115754766130606,0,Medium,19.95,11,month-to-month,0,bank transfer (automatic),0,Monitor customer
0115-TFERT,0.7849681467961395,1,High,111.2,22,month-to-month,2,electronic check,3,Apply retention strategy
0117-LFRMW,0.3344611882019937,0,Medium,40.2,38,month-to-month,3,bank transfer (automatic),1,Monitor customer
0118-JPNOY,0.648143834034336,1,High,85.8,27,month-to-month,4,credit card (automatic),2,Apply retention strategy
0121-SNYRK,0.05833979340097452,0,Low,35.4,51,one year,0,mailed check,2,No action required
0122-OAHPZ,0.8305654432055058,1,High,73.85,8,month-to-month,3,electronic check,0,Apply retention strategy
0123-CRBRT,0.06101624194693939,0,Low,88.1,62,two year,0,mailed check,4,No action required
0125-LZQXK,0.800570792128755,1,High,101.35,16,month-to-month,2,electronic check,3,Apply retention strategy
0128-MKWSG,0.24357653769750456,0,Low,45.8,27,month-to-month,0,mailed check,3,No action required
0129-KPTWJ,0.5386623265066682,1,High,94.65,73,month-to-month,4,electronic check,2,Apply retention strategy
0129-QMPDR,0.03993531458640711,0,Low,20.5,45,one year,0,bank transfer (automatic),0,No action required
0130-SXOUN,0.5279564930201266,1,High,89.4,67,month-to-month,4,credit card (automatic),1,Apply retention strategy
0133-BMFZO,0.915407230603537,1,High,86.25,3,month-to-month,0,electronic check,2,Apply retention strategy
0134-XWXCE,0.17935029017654008,0,Low,74.85,45,one year,0,bank transfer (automatic),3,No action required
0135-NMXAP,0.6990272753998408,1,High,89.75,13,month-to-month,4,bank transfer (automatic),1,Apply retention strategy
0136-IFMYD,0.2076024409492052,0,Low,109.95,70,two year,2,electronic check,3,No action required
0137-OCGAB,0.8965891387480247,1,High,80.2,2,month-to-month,3,mailed check,0,Apply retention strategy
