threshold,accuracy,precision,recall,f1_score,true_positives,false_positives,true_negatives,false_negatives
0.1,0.8864,0.7074,0.9759,0.8202,365,151,884,9
0.11,0.8886,0.7132,0.9706,0.8222,363,146,889,11
0.12,0.8921,0.7202,0.9706,0.8269,363,141,894,11
0.13,0.8943,0.7264,0.9652,0.8289,361,136,899,13
0.14,0.8964,0.7327,0.9599,0.831,359,131,904,15
0.15,0.8978,0.7357,0.9599,0.8329,359,129,906,15
0.16,0.9013,0.7433,0.9599,0.8378,359,124,911,15
0.17,0.9028,0.7484,0.9545,0.839,357,120,915,17
0.18,0.9056,0.7558,0.9519,0.8426,356,115,920,18
0.19,0.9063,0.7585,0.9492,0.8432,355,113,922,19
0.2,0.9092,0.7651,0.9492,0.8473,355,109,926,19
0.21,0.9106,0.7707,0.9439,0.8486,353,105,930,21
0.22,0.9113,0.7736,0.9412,0.8492,352,103,932,22
0.23,0.9127,0.7795,0.9358,0.8505,350,99,936,24
0.24,0.9127,0.7808,0.9332,0.8502,349,98,937,25
0.25,0.9127,0.782,0.9305,0.8498,348,97,938,26
0.26,0.9127,0.7833,0.9278,0.8494,347,96,939,27
0.27,0.9141,0.7868,0.9278,0.8515,347,94,941,27
0.28,0.9163,0.7922,0.9278,0.8547,347,91,944,27
0.29,0.9163,0.7949,0.9225,0.854,345,89,946,29
0.3,0.9177,0.8,0.9198,0.8557,344,86,949,30
0.31,0.9184,0.8033,0.9171,0.8564,343,84,951,31
0.32,0.9205,0.8104,0.9144,0.8593,342,80,955,32
0.33,0.9212,0.8138,0.9118,0.86,341,78,957,33
0.34,0.9212,0.8153,0.9091,0.8597,340,77,958,34
0.35,0.9248,0.8252,0.9091,0.8651,340,72,963,34
0.36,0.9233,0.826,0.9011,0.8619,337,71,964,37
0.37,0.9241,0.8296,0.8984,0.8626,336,69,966,38
0.38,0.9276,0.8417,0.8957,0.8679,335,63,972,39
0.39,0.9269,0.8413,0.893,0.8664,334,63,972,40
0.4,0.9262,0.8426,0.8877,0.8646,332,62,973,42
0.41,0.9283,0.8491,0.8877,0.868,332,59,976,42
0.42,0.9283,0.8527,0.8824,0.8673,330,57,978,44
0.43,0.9283,0.8527,0.8824,0.8673,330,57,978,44
0.44,0.9276,0.8542,0.877,0.8654,328,56,979,46
0.45,0.929,0.8605,0.8743,0.8674,327,53,982,47
0.46,0.929,0.8644,0.869,0.8667,325,51,984,49
0.47,0.929,0.8663,0.8663,0.8663,324,50,985,50
0.48,0.929,0.8663,0.8663,0.8663,324,50,985,50
0.49,0.9276,0.8656,0.861,0.8633,322,50,985,52
0.5,0.9269,0.8672,0.8556,0.8614,320,49,986,54
0.51,0.929,0.8743,0.8556,0.8649,320,46,989,54
0.52,0.929,0.8785,0.8503,0.8641,318,44,991,56
0.53,0.929,0.8785,0.8503,0.8641,318,44,991,56
0.54,0.9297,0.883,0.8476,0.8649,317,42,993,57
0.55,0.9297,0.8873,0.8422,0.8642,315,40,995,59
0.56,0.9297,0.8895,0.8396,0.8638,314,39,996,60
0.57,0.9312,0.8991,0.8342,0.8655,312,35,1000,62
0.58,0.9297,0.9009,0.8262,0.8619,309,34,1001,65
0.59,0.9297,0.9056,0.8209,0.8612,307,32,1003,67
0.6,0.9297,0.9104,0.8155,0.8604,305,30,1005,69
0.61,0.929,0.9152,0.8075,0.858,302,28,1007,72
0.62,0.9276,0.9146,0.8021,0.8547,300,28,1007,74
0.63,0.9304,0.9259,0.8021,0.8596,300,24,1011,74
0.64,0.9304,0.9286,0.7995,0.8592,299,23,1012,75
0.65,0.929,0.9308,0.7914,0.8555,296,22,1013,78
0.66,0.929,0.9308,0.7914,0.8555,296,22,1013,78
0.67,0.9283,0.9333,0.7861,0.8534,294,21,1014,80
0.68,0.9283,0.9361,0.7834,0.853,293,20,1015,81
0.69,0.9276,0.9359,0.7807,0.8513,292,20,1015,82
0.7,0.9276,0.9387,0.7781,0.8509,291,19,1016,83
0.71,0.9276,0.9416,0.7754,0.8504,290,18,1017,84
0.72,0.9276,0.9444,0.7727,0.85,289,17,1018,85
0.73,0.9283,0.9505,0.7701,0.8508,288,15,1020,86
0.74,0.9262,0.95,0.762,0.8457,285,15,1020,89
0.75,0.9255,0.9498,0.7594,0.844,284,15,1020,90
0.76,0.9248,0.9527,0.754,0.8418,282,14,1021,92
0.77,0.9248,0.9558,0.7513,0.8413,281,13,1022,93
0.78,0.9233,0.9586,0.7433,0.8373,278,12,1023,96
0.79,0.9219,0.9615,0.7353,0.8333,275,11,1024,99
0.8,0.9212,0.968,0.7273,0.8305,272,9,1026,102
0.81,0.9191,0.9676,0.7193,0.8252,269,9,1026,105
0.82,0.917,0.9673,0.7112,0.8197,266,9,1026,108
0.83,0.9134,0.9667,0.6979,0.8106,261,9,1026,113
0.84,0.912,0.9699,0.6898,0.8063,258,8,1027,116
0.85,0.9092,0.9695,0.6791,0.7987,254,8,1027,120
0.86,0.9077,0.9729,0.6711,0.7943,251,7,1028,123
0.87,0.9063,0.9727,0.6658,0.7905,249,7,1028,125
0.88,0.9021,0.972,0.6497,0.7788,243,7,1028,131
0.89,0.8985,0.9753,0.6337,0.7682,237,6,1029,137
